url,question_title,question_text,tags,answers_count,answers_combined
https://www.dadrah.ir/consulting-paper.php?requestID=889602,مشاوره حقوقی رایگان - حقوق سربازی,سلام ، من با 3 فرزند خدمت سربازی رفتم قراربوده 1405/5/1 خدمتم تمام بشه ، ولی چون بچه چهارمم به دنیا اومده بود،سازمان تو سیستم 1405/3/14 تو سیستم اتمام خدمت منو زده ، ولی من اطلاع نداشتم و تا امروز که 1405/4/20 هست خدمت کردم  حدودا 40 روز، حالا این 40 روز حقوق بهم میدن یا نه ؟؟,"حقوق سربازی, سربازی",1,جناب آقای مجتبی عاشوری (شهر تهران): باسلام در صورت ثبت رسمی پایان خدمت از ۱۴۰۵/۰۳/۱۴ ادامه خدمت شما فاقد مبنای قانونی بوده و اصولاً حقوق ایام خدمت انجام شده قابل مطالبه است هرچند پرداخت آن منوط به رسیدگی و تأیید یگان خدمتی و امور مالی نیروهای مسلح خواهد بود
https://www.dadrah.ir/consulting-paper.php?requestID=888749,مشاوره حقوقی رایگان - گرفتن کسری با غیبت سربازی,آیا غیبت پشت دفترچه ایی دارم کسری بسیج تعلق میگیرد؟,سربازی,1,جناب آقای مجتبی عاشوری (شهر تهران): به نظام وظیفه رجوع گردد
https://www.dadrah.ir/consulting-paper.php?requestID=881254,مشاوره حقوقی رایگان - حمل گل در سربازی,سلام بند سربازم و با یه سرباز جدید الورود به مرخصی شهری رفتیم و 1 گرم گل اورد  داخل پادگان و ازش گرفتن و چون جدید بود گفت من بهش نشون دادم از کی بگیر و منو دادگاهی کردن بار اولمه قاضی چه حکمی مینویسه؟,"حمل گل در سربازی, حمل مواد مخدر در سربازی, مواد مخدر, سربازی",2,جناب آقای حسین حاجی زاده (شهر تهران): سلام حبس ||| جناب آقای حسین شاپوری (شهر تهران): سلام حسب مورد مجازات حبس یا جزای نقدی در نظر گرفته خواهد شد.
https://www.dadrah.ir/consulting-paper.php?requestID=888211,مشاوره حقوقی رایگان - حقوق درباره سربازی,سلام وقت بخیر و خسته نباشید ... من آموزشی بودم و تصادف کردم و تو تصادف پام شکست و پلاتین هستش و حقوق  اموزشی م ماه اول 3500 زدن و ماه دوم 500 آیا برام حقوق واریز میکنن تا خوب شم یا خیر  بیمارستانم یه برگه داد گفت به یگان تحویل بده و اون برگه هم تحویل دادم آیا تا خوب شم برام حقوق واریز می کنن؟,"حقوق سربازی, تصادف حین آموزشی سربازی, سربازی",2,جناب آقای مجتبی عاشوری (شهر تهران): باسلام در صورت تأیید مصدومیت و استراحت پزشکی توسط یگان اصولاً حقوق دوره درمان برقرار است مگر کمیسیون یا یگان تصمیم دیگری اتخاذ کند آیا برگه بیمارستان به تأیید بهداری و فرمانده یگان نیز رسیده است ||| جناب آقای علی کشاورز (شهر تهران): قانونا باید واریز کنند
https://www.dadrah.ir/consulting-paper.php?requestID=886844,مشاوره حقوقی رایگان - سربازی,درود بر شما ، من 18 سالم شده و علاقه ای به ادامه تحصیل ندارم و آرایشگر هستم ، مادرم ازدواج مجدد کرده و پدر ناتنی‌ام 60 سالشه ، سربازی نمیخوام برم راه حلی هست که بشه معافیت گرفت یا بعد از مدتی نرفتن معاف شد؟ و اینکه اگر نرم مشکلی پیش نمیاد برام؟,"معافیت سربازی, سربازی",2,سرکار خانم شميم ملا حسينی (شهر چالوس): اگر به سن قانونی رسیده باشید باید خود را معرفی کنید مگر آنکه کفالت مادر یا پدرتان را بر عهده بگیرید ||| جناب آقای حسین شاپوری (شهر تهران): سلام پاسخ منفی هست و شما مشمول خدمت سربازی هستید و بایست این دوره را سپری بفرمائید.
https://www.dadrah.ir/consulting-paper.php?requestID=886216,مشاوره حقوقی رایگان - سربازی,سلام شوهر من دو هفته رفته آموزشی فقط شناسنامه برده و تو پلیس 10گفته من متاهلم ثبت شده حالا میگن باید عقد نامه هم می‌آوردین چکار کنیم؟ممکنه بندازنش شهر دیگه؟,"سرباز متاهل, سربازی",2,جناب آقای مجتبی عاشوری (شهر تهران): باسلام صرف همراه نداشتن عقدنامه در زمان اعزام معمولاً موجب تغییر محل خدمت یا اعزام به شهر دیگر نمیشود و با ارائه عقدنامه یا رونوشت رسمی در اولین فرصت وضعیت تأهل قابل اصلاح و تکمیل است نکته مهم این است آیا یگان آموزشی از ایشان مهلت برای ارائه عقدنامه داده یا تصمیم به عدم اعمال امتیاز متأهلی گرفته است ||| سرکار خانم زهرا زارعي (شهر کرمانشاه): سلام خوب عقدنامه ببرید
https://www.dadrah.ir/consulting-paper.php?requestID=886051,مشاوره حقوقی رایگان - تصادف در حین سربازی,سلام. من 6 ماه پیش تصادف کردم با ماشین سازمان ستا شکستگی در مهره های گردنی دارم و کم آبی دیسک و بیرون زدگی دیسک دارم اران فق هی پاسکاری میکنن دیه ندادن و سوالم اینه آیا برام درصد جانبازی حساب میکنن و اگر حساب میکنن باید کجا برم؟,"جانبازی حین خدمت سربازی, دیه تصادف حین سربازی, تصادف در حین سربازی, جانبازی, سربازی, تصادف",2,جناب آقای مجتبی عاشوری (شهر تهران): باسلام پرسشگر ارجمند صرف آسیب ناشی از تصادف موجب تعلق درصد جانبازی نمیگردد و درصد جانبازی منحصرا در چارچوب قوانین ایثارگران و پس از احراز شرایط قانونی توسط کمیسیون پزشکی بنیاد شهید یا مرجع ذیصلاح تعیین میشود در خصوص دیه نیز در صورت استنکاف مسئول پرداخت حق پیگیری قضایی دارید ؛ آیا حادثه در حین مأموریت یا خدمت و با تأیید یگان مربوطه رخ داده است یا صرفا یک تصادف عادی با خودروی سازمانی بوده است؟ ||| جناب آقای حسین شاپوری (شهر تهران): سلام در نظر داشته باشید که صِرف آسیب ناشی از تصادف، موجب تعلق درصد جانبازی نمی‌گردد.
https://www.dadrah.ir/consulting-paper.php?requestID=886024,مشاوره حقوقی رایگان - جریمه بیمه سربازی,"سلام. اول اینکه میشه اعتراض یا شکایتی انجام داد چون در زمان جنگ بوده و کجا شکایت کرد؟
دوم اینکه چطور میشه اول اقساطی که مونده و جریمه نداره و موعدش هست را پرداخت کرد بعدا اون 3تایی که جریمه خورده رو پرداخت کرد؟","بیمه سربازی, سربازی",2,جناب آقای مجتبی عاشوری (شهر تهران): باسلام پرسشگر ارجمند در صورت ورود خسارت ناشی از شرایط جنگ یا مطالبه خلاف مقررات امکان اعتراض به مرجع صادرکننده تصمیم و عندالاقتضاء طرح دعوا در مرجع صالح وجود دارد لیکن تخصیص پرداخت اقساط به دیون فاقد جریمه برخلاف ترتیب مقرر در قرارداد یا سامانه وصول دیون جز با موافقت طلبکار یا حکم مرجع صالح امکانپذیر نیست نکته اساسی آیا اقساط مربوط به تسهیلات بانکی است یا اجرای احکام یا سازمان دیگری و قرارداد در خصوص ترتیب احتساب پرداختها چه حکمی دارد ||| جناب آقای حسین شاپوری (شهر تهران): سلام به منابع انسانی یگان خدمتی مراجعه نمائید و اعتراض بفرمائید تا بررسی شود و اگر اثر نکرد، درخواست قسط‌بندی شدن را بنمائید.
https://www.dadrah.ir/consulting-paper.php?requestID=881242,مشاوره حقوقی رایگان - سربازی در شهر غیر زادگاه,"سلام وقتتون بخیر باشه 
من حدود یک هفته دیگر فارغ التحصیل میشم و بدنبال گرفتن امریه در همین استان محل تحصیل هستم
سوالم اینه ک میتونم از استان غیر زادگاه دفترچه پست کنم و دراونجا خدمت کنم یا امریه بگیرم ؟",سربازی,3,جناب آقای مجتبی عاشوری (شهر تهران): با درود پرسشگر ارجمند منوط به موافقت سازمان نظام وظیفه است حتی المقدور حضوری پيگير ماجرا شوید ||| سرکار خانم لیلا اردستانی رستمی (شهر تهران): از اداره نظام وظیفه پیگیری کنید ||| سرکار خانم فاطمه اسپرهم (شهر تهران): سلام دوست عزیز پرسش شما حقوقی نیست
https://www.dadrah.ir/consulting-paper.php?requestID=889009,مشاوره حقوقی رایگان - معافیت یا کسری از پدربزرگ,ایا سرباز میتواند از جبهه و ایثارگری پدربزرگ مادری برای معافیت و یاکسری استفاده کند ممنون,"کسری خدمت سربازی, معافیت سربازی, سربازی",3,جناب آقای مجتبی عاشوری (شهر تهران): به این صورت خیر ||| جناب آقای حسین شاپوری (شهر تهران): نَه ||| سرکار خانم ندا فلاح پور (شهر اصفهان): سلام. خیر
https://www.dadrah.ir/consulting-paper.php?requestID=887955,مشاوره حقوقی رایگان - تحقیق راجع به معافیت کفالت,سلام دوباره خدمت وکلای عزیز ببینید من پدرم دوتا از مهره های کمرش مشکل دارند جابه جا شدند بعد مشکل اعصاب و روان هم داره مشکل اعصاب روانش طوری هست که ما کلا خانوادتن چندین بار کارمون به دادگاه رسید و بخاطر همین مشکلش هم من ازش چاقو خوردم و الانم بخاطر این دو مشکلش میخوام معافیت کفالت بگیرم بنظر شما باید چکار چه راهی داره برای پیگیریش که واقعا انجام بشه بعد پدرمم رفت سئوال کرد بهش گفتند تو باید، سنت بالا باشه حالا اگر راهکاری دارید که میدونید واقعا کار سازه به ما عنوان کنید ممنون میشیم,"معافیت کفالت سربازی, معافیت سربازی, سربازی",3,سرکار خانم لیلا اردستانی رستمی (شهر تهران): اگر پدر به علت بیماری یا ازکارافتادگی نیازمند مراقبت باشد، صرف پایین بودن سن لزوماً مانع رسیدگی نیست و ملاک اصلی نظر شورای پزشکی است.جمله پرونده‌های بستری، گواهی پزشک متخصص اعصاب و روان، متخصص ارتوپدی یا جراح ستون فقرات، MRI و سایر آزمایش‌ها را جمع‌آوری کنید.اگر پدرتان سابقه شکایت، حکم قضایی یا پرونده پزشکی قانونی به علت بیماری روانی دارد، ارائه این مدارک نیز می‌تواند در اثبات شدت بیماری مؤثر باشد. ||| جناب آقای علی کشاورز (شهر تهران): شما باید برید دفتر پلیس بعلاوه ده ودرخواست معافیت کفالت بدهید ||| سرکار خانم فاطمه اسپرهم (شهر تهران): سلام شما در دفتر پلیس بعلاوه ده مدارک  را ارائه دهید تصمیم گیری میشود
https://www.dadrah.ir/consulting-paper.php?requestID=886995,مشاوره حقوقی رایگان - سربازی،مجروحیت در جنگ,"سلام من سربازم در جنگ رمضان مصدوم شدم و از ناحیه پا و شکم ترکش خوردم و آسیبی بدی دیدم و تحت عمل جراحی داخلی بابت خونریزی قرار گرفتم و داخل پای راستم هم هنوز ترکش مونده و پای چپ هم ترکش خورد و هم با توجه به موج سنگین یک شی آهنی بزرگ به پام برخورد کرد و تاندوم پام آسیب دید و دچار موج گرفتی از ناحیه سر و کم شدن بسیار زیاد شنوایی گوش چپ شدم.
آیا امکان معافیت در شورای عالی وجود دارد؟؟","معافیت سربازی به دلیل مجروحیت حین جنگ, معافیت سربازی, مجروحیت حین جنگ, سربازی",3,جناب آقای علی تقوی (شهر تهران): باسلام ان ها تصمیم میگیرند ||| جناب آقای محمود رئیسی (شهر شیراز): سلام  بله محتمل است  شما می توانید درخواست جانبازی را مطرح نمایید ||| سرکار خانم صفورا جعفرزاده (شهر تهران): هر احتمالی وجود دارد
https://www.dadrah.ir/consulting-paper.php?requestID=885264,مشاوره حقوقی رایگان - فرار از خدمت سربازی,من سال 86 رفتم خدمت سربازی وسال 87 فرار کردم حالا 3 تا فرزند دارم چکار کنم برای معافیت؟,"فرار از خدمت سربازی, معافیت سربازی, سربازی",3,جناب آقای مجتبی عاشوری (شهر تهران): باسلام صرف داشتن سه فرزند موجب معافیت قطعی از خدمت یا بخشش فرار از خدمت نیست و با توجه به تغییرات مکرر مقررات باید وضعیت شما توسط سازمان وظیفه عمومی بررسی شود و در صورت شمول مقررات جدید امکان بهره مندی از معافیت یا تعیین تکلیف خدمت وجود دارد ||| سرکار خانم فاطمه اسپرهم (شهر تهران): از یگان خدمتی اقدام کنید ||| جناب آقای علی شیئی مقدم (شهر تهران): سلام اگر تا پایان سال ۱۴۰۴ سه فرزند داشته اید و حداقل ۴۰ سال تمام دارید، طبق اطلاعیه های اخیر می توانید برای معافیت سه فرزندی از طریق پلیس +۱۰ اقدام کنید؛ مهلت اعلام شده فعلا تا پایان شهریور ۱۴۰۵ است. اگر شرط سن یا تاریخ تولد فرزندان را ندارید، باید از طریق یگان خدمتی یا وظیفه عمومی وضعیت فرار را تعیین تکلیف کنید
https://www.dadrah.ir/consulting-paper.php?requestID=882236,مشاوره حقوقی رایگان - لغو امریه پرستاری,"وقت بخیر
بنده سرباز امریه وزارت بهداشت و پرستار هستم، پس از گذشت 2 ماه دوره آموزشی و 7 ماه اشتغال در بیمارستان پذیرنده امریه، قصد لغو امریه و ادامه خدمت بصورت عادی را دارم
سوال اول اینکه، آیا امکان همچین کاری وجود دارد؟!
سوال دوم اینکه، آیا این 9 ماه گذرانده شده از باقی طول مدت خدمت کسر میگردد؟!

تشکر","لغو امریه پرستاری, امریه سربازی, سربازی",3,جناب آقای مجتبی عاشوری (شهر تهران): - بله، امکان لغو امریه وجود دارد، اما باید دلایل موجهی برای لغو ارائه دهید و ممکن است جریمه یا تبعاتی برای شما داشته باشد. - 9 ماه خدمت گذرانده شده به عنوان بخشی از کل دوره خدمت سربازی شما محاسبه خواهد شد ||| جناب آقای علی شیئی مقدم (شهر تهران): سلام. لغو امریه به درخواست شخص، یک حق قطعی و یک طرفه نیست و نیاز به موافقت دستگاه پذیرنده، یگان خدمتی و مرجع نظام وظیفه دارد. اگر لغو امریه قانونی انجام شود، مدت ۹ ماهی که با معرفی نامه رسمی خدمت کرده اید اصولا جزو خدمت محاسبه می شود. اگر ترک خدمت یا غیبت کنید، ممکن است مشکل خدمتی ایجاد شود. ||| جناب آقای علی کشاورز (شهر تهران): درخواست کردن امکان دارد ولی بیمارستان ممکنه مخالفت کنه یا شرط بزاره و اذیتت کنه ، پیشنهاد میکنم به خدمتتان در بیمارستان ادامه دهید تا انشاالله تمام بشه ، فکر نکن خدمت توی یگان نظامی خیلی راحت‌تر از آنجاست ، خیلی ها آرزو دارند مثل شما امریه ای بشوند
